id,happiness
8001,4
8002,4
8003,4
8004,4
8005,4
8006,4
8007,4
8008,5
8009,4
8010,3
8011,3
8012,4
8013,4
8014,4
8015,4
8016,4
8017,4
8018,4
8019,4
8020,4
8021,4
8022,4
8023,4
8024,4
8025,4
8026,4
8027,4
8028,4
8029,5
8030,4
8031,4
8032,4
8033,4
8034,4
8035,5
8036,5
8037,4
8038,4
8039,4
8040,4
8041,4
8042,4
8043,4
8044,4
8045,4
8046,4
8047,5
8048,4
8049,4
8050,4
8051,4
8052,4
8053,3
8054,4
8055,4
8056,4
8057,4
8058,4
8059,2
8060,4
8061,2
8062,3
8063,4
8064,4
8065,4
8066,4
8067,4
8068,4
8069,4
8070,4
8071,4
8072,4
8073,4
8074,4
8075,4
8076,4
8077,2
8078,4
8079,5
8080,4
8081,4
8082,4
8083,5
8084,4
8085,4
8086,5
8087,4
8088,4
8089,4
8090,4
8091,4
8092,4
8093,4
8094,4
8095,4
8096,4
8097,5
8098,4
8099,4
8100,4
8101,4
8102,4
8103,4
8104,5
8105,4
8106,4
8107,4
8108,4
8109,4
8110,4
8111,4
8112,4
8113,4
8114,5
8115,4
8116,4
8117,4
8118,4
8119,4
8120,5
8121,4
8122,4
8123,4
8124,4
8125,4
8126,5
8127,2
8128,4
8129,4
8130,4
8131,4
8132,4
8133,4
8134,4
8135,4
8136,4
8137,4
8138,4
8139,4
8140,4
8141,4
8142,4
8143,4
8144,4
8145,4
8146,2
8147,4
8148,2
8149,4
8150,4
8151,2
8152,4
8153,4
8154,4
8155,4
8156,4
8157,4
8158,4
8159,4
8160,4
8161,4
8162,4
8163,4
8164,4
8165,4
8166,4
8167,4
8168,4
8169,4
8170,4
8171,4
8172,4
8173,4
8174,4
8175,4
8176,4
8177,3
8178,4
8179,4
8180,4
8181,3
8182,4
8183,4
8184,4
8185,4
8186,4
8187,4
8188,4
8189,4
8190,4
8191,4
8192,4
8193,4
8194,4
8195,5
8196,4
8197,4
8198,4
8199,4
8200,5
8201,4
8202,4
8203,4
8204,4
8205,4
8206,4
8207,4
8208,4
8209,4
8210,4
8211,4
8212,4
8213,4
8214,4
8215,4
8216,4
8217,2
8218,4
8219,4
8220,4
8221,5
8222,4
8223,3
8224,4
8225,4
8226,4
8227,4
8228,3
8229,4
8230,4
8231,4
8232,4
8233,4
8234,4
8235,4
8236,3
8237,4
8238,4
8239,4
8240,4
8241,4
8242,4
8243,4
8244,4
8245,4
8246,4
8247,4
8248,4
8249,4
8250,4
8251,4
8252,5
8253,4
8254,4
8255,4
8256,4
8257,4
8258,3
8259,4
8260,4
8261,4
8262,4
8263,4
8264,4
8265,4
8266,3
8267,2
8268,4
8269,4
8270,4
8271,3
8272,4
8273,4
8274,4
8275,4
8276,4
8277,4
8278,4
8279,4
8280,4
8281,4
8282,4
8283,4
8284,4
8285,4
8286,3
8287,4
8288,4
8289,4
8290,4
8291,4
8292,4
8293,4
8294,4
8295,3
8296,4
8297,4
8298,5
8299,3
8300,4
8301,3
8302,4
8303,4
8304,4
8305,4
8306,5
8307,4
8308,4
8309,4
8310,4
8311,4
8312,5
8313,4
8314,4
8315,4
8316,4
